receive_msg_num, send_msg_num, msg_type, msg_priority, msg_start_time(ts), msg_end_time(ts), msg_trans_time(ns)
2896, 815, c, 2, 1700669966.478487033, 1700669966.495704158,17217125
2897, 786, a, 6, 1700669966.465614406, 1700669966.509300142,43685736
2898, 808, b, 4, 1700669966.491832848, 1700669966.524041954,32209106
2899, 864, d, 0, 1700669966.513118037, 1700669966.538610177,25492140
2900, 816, c, 2, 1700669966.512928170, 1700669966.552835006,39906836
2901, 865, d, 0, 1700669966.547763123, 1700669966.561121432,13358309
2902, 809, b, 4, 1700669966.526389991, 1700669966.575153366,48763375
2903, 817, c, 2, 1700669966.547577308, 1700669966.585783816,38206508
2904, 866, d, 0, 1700669966.582301966, 1700669966.597629830,15327864
2905, 810, b, 4, 1700669966.560804128, 1700669966.607244729,46440601
2906, 818, c, 2, 1700669966.585594799, 1700669966.620329071,34734272
2907, 867, d, 0, 1700669966.616827557, 1700669966.634676346,17848789
2908, 811, b, 4, 1700669966.607814771, 1700669966.640339748,32524977
2909, 819, c, 2, 1700669966.620036169, 1700669966.647378760,27342591
2910, 790, a, 6, 1700669966.631771804, 1700669966.650373810,18602006
2911, 812, b, 4, 1700669966.642315186, 1700669966.662487279,20172093
2912, 868, d, 0, 1700669966.651399493, 1700669966.671361948,19962455
2913, 820, c, 2, 1700669966.654435334, 1700669966.678985134,24549800
2914, 791, a, 6, 1700669966.668154030, 1700669966.686400553,18246523
2915, 813, b, 4, 1700669966.676779046, 1700669966.696674312,19895266
2916, 869, d, 0, 1700669966.685875854, 1700669966.704476935,18601081
2917, 821, c, 2, 1700669966.688714870, 1700669966.714776437,26061567
2918, 792, a, 6, 1700669966.702768108, 1700669966.722261034,19492926
2919, 870, d, 0, 1700669966.720518106, 1700669966.734292936,13774830
2920, 814, b, 4, 1700669966.711255119, 1700669966.748290147,37035028
2921, 822, c, 2, 1700669966.723529153, 1700669966.759628232,36099079
2922, 871, d, 0, 1700669966.755182732, 1700669966.767245758,12063026
2923, 793, a, 6, 1700669966.739353410, 1700669966.771238097,31884687
2924, 815, b, 4, 1700669966.745734607, 1700669966.776655032,30920425
2925, 823, c, 2, 1700669966.758042800, 1700669966.782626674,24583874
2926, 794, a, 6, 1700669966.775959543, 1700669966.791204121,15244578
2927, 872, d, 0, 1700669966.789681128, 1700669966.797287185,7606057
2928, 816, b, 4, 1700669966.781380709, 1700669966.800417485,19036776
2929, 824, c, 2, 1700669966.792691873, 1700669966.807866286,15174413
2930, 795, a, 6, 1700669966.810453248, 1700669966.821161929,10708681
2931, 817, b, 4, 1700669966.815998703, 1700669966.833588418,17589715
2932, 873, d, 0, 1700669966.824359212, 1700669966.845550618,21191406
2933, 825, c, 2, 1700669966.827171499, 1700669966.858034719,30863220
2934, 796, a, 6, 1700669966.845150127, 1700669966.871467854,26317727
2935, 874, d, 0, 1700669966.858864362, 1700669966.884920037,26055675
2936, 818, b, 4, 1700669966.850466310, 1700669966.894266505,43800195
2937, 826, c, 2, 1700669966.861625388, 1700669966.906307275,44681887
2938, 875, d, 0, 1700669966.893332059, 1700669966.920274146,26942087
2939, 819, b, 4, 1700669966.885007520, 1700669966.924625394,39617874
2940, 827, c, 2, 1700669966.896059587, 1700669966.935744959,39685372
2941, 876, d, 0, 1700669966.927651170, 1700669966.949485477,21834307
2942, 798, a, 6, 1700669966.914089083, 1700669966.963397557,49308474
2943, 877, d, 0, 1700669966.962119405, 1700669966.975303179,13183774
